ok,オーケィ
bots,ボッズ
bot,ボット
discha,ディスチャ
microsoft,マイクロソフト
google,グーグル
twitter,ツイッター
skype,スカイプ
mac,マック
url,ユーアルーエル
line,ライン
instagram,インスタグラム
os,オーエス
insta,インスタ
3ds,スリーディーエス
code,コード
mouse,マウス
keyboard,キーボード
wiiu,ウィーユー
switch,スィッチ 
minecraft,マインクラフト
omg,オーエムジー
facebook,フェイスブック
chrome,クロム
ps4,ピーエスフォー
pokemon,ポケモン
edge,エッジ
drive,ドライブ
sd,エスディー
zoom,ズーム
adobe,アドベ
word,ワード
excel,エクセル
powerpoint,パワーポイント
docs,ドック
doc,ドック
slides,スライド
slide,スライド
spreadsheets,スプレッドシート
nice,ナイス
spreadsheet,スプレッドシート
bing,ビング
yahoo,ヤフー
ms,ミリセカンズ
pc,ピーシー
good,グッド
job,ジョブ
bye,バーイ
welcome,ウェルカム
fantastic,ファンタジック
book,ブック
laptop,ラップトップ
desktop,デスクトップ
notebook,ノートブック
wi-fi,ワイファイ 
hello,ハロー
windows,ウインドウズ
window,ウインドウ
opera,オペラ
internet,インターネット
explorer,エクスプローラー
vivaldi,ヴィダルディ
alpha,アルファ
beta,ベータ
wifi,ワイファイ 
firefox,ファイアーフォックス
waterfox,ウォーターフォックス
palemoon,ペールムーン
brave,ブレーブ
panel,パネル
browser,ブラウザー
chat,チャット
apple,アップル
control,コントロール
android,アンドロイド
text,テキスト
teams,チームズ
team,チーム
store,ストア
iphone,アイフォン
blacklist,ブラックリスト
whitelist, ホワイトリスト
twitch, ツイッチ
