i'm,アイム 
i'd,アイド
it's,イッツス
i've,アイブ 
he's,ヒーズ
i'll,アイル
he'd,ヒード
we'd,ウィード
it'd,イッツド
don't,ドンツ
can't,キャンツ
we're,ウィアー
isn't,イズント
won't,ウォント
we've,ウィーブ
we'll,ウィール
she's,シーズ
you'd,ユード
let's,レッツ
who's,フーズ
he'll,ヒール
it'll,イッツル
she'd,シード
ain't,エイント
who'd,フード
that's,ザッツス
didn't,ディント
you're,ユアー
you'll,ユール
what's,ウアッツス
wasn't,ワズント
you've,ユーブ
aren't,アーンツ
here's,ヒアーズ
hasn't,ハズント
hadn't,ハドゥント
they'd,デイド
who've,フーブ
she'll,シール
who'll,フール
that'd,ザットド
doesn't,ダズント
there's,デアーズ
they're,デイアー
world's,ワールドズ
haven't,ハブント
they've,デイブ
weren't,ワーント
they'll,デイル
o'clock,オークロック
mustn't,マストント
needn't,ニードゥント
must've,マストブ
that'll,ザッツール
couldn't,クゥールドゥント
wouldn't,ウールドゥント
could've,クゥールドブ
would've,ウールドゥブ
there'll,ゼアール
shouldn't,シュールドゥント
should've,シュールドブ
this'll,ディスルー
