the,ザ
can,キャン
that,ザット
hmm,hoom
plagiarism,プレジャーリズム
example,エクザンプル
:),smilie face
:(,sad face
:'(,crying sad face
:'),crying smilie face
:|,meh
:V,uhh
>:(,frowning face
;),wink smilie face
;(,wink sad face
wtf,what the fuck
asap,a-s-a-p
cya,see-ya
glhf,g-l-h-f
lmao,l-m-a-o
lmfao,l-m-a-f-o
afk,a-f-k
btw,b-t-w
aka,a-k-a
diy,d-i-y
idk,i don't know
lol,l-o-l
omg,o-m-g
zzz,z-z-z
zz,z-z
awesome,オーソム
annoatations,アノーテイションズ
am,アム
sup,サップ
dammit,ダーミット
dang,デング
lmao,ルマオ
lmfao,ルマファエオ
oof,ウッフ
flawless,フローレス
flawlessness,フローレスネス
ping,ピング
poggers,ポーガーズ
pogger,ポーガー
overkill,オーバキル
overshooting,オーバーシューティング
omg,オーマイガー
tts,テキストツースピーチ
breaks,ブレークス
dude,ドゥード
programmers,プログラマーズ
ww,わらわら
www,わらわらわら
robeats,ロービーツ
bruh,ブラー
vibe,バイブ
vibing,バイビング
vibeing,バイビング
vc,ビーシー
midnight,ミッドナイト
cya,シーヤ
nevermind,ネバーマインド
romaji,ローマ字
ubiquitous,ユべクぇトス
thx,センクス
wdym,ワットドゥユーミーン
wtf,ワッターファック
asmr,エイエスエムアール
lol,エルオーエル
kills,キルズ
woah,ウォー
idk,アイドントノウ
settings,セッティングス
xbox,エックスボックス
ur,ヨア
again,アゲン
coke,コーク
kfc,ケイーエフシー
told,トールド
ya,ヤ
gtg,ガッツゴー
ikr,アイノーライト
ngl,ノットゴナライ
ugh,ウグッ
sucks,サックス
hmm,フーム
improvements,インプルーブメンッス
