abandon,アバンドン
ability,アビリティ
able,エーブル
abortion,アボーション
about,アバウト
above,アバーブ
abroad,アブロード
absence,アブセンス
absolute,アブソルート
absolutely,アブソルートリ
absorb,アブゾーブ
abuse,アビューズ
academic,アカデミック
accept,アクセプト
access,アクセス
accident,アクシデント
accompany,アコンパニー
accomplish,アコンプリッシュ
according,アコーディング
account,アカウント
accurate,アキュレート
accuse,アキューズ
achieve,アチーブ
achievement,アチーブメント
acid,アシッド
acknowledge,アクノレージ
acquire,アクワイア
across,アクロス
act,アクト
action,アクション
active,アクティブ
activist,アクティビスト
activity,アクティビティ
actor,アクター
actress,アクトレス
actual,アクチュアル
actually,アクチュアリー
ad,アド
adapt,アダプト
add,アド
addition,アディション
additional,アディショナル
address,アドレス
adequate,アデクェード
adjust,アジャスト
adjustment,アジャストメント
administration,アドミニストレーション
administrator,アドミニストレーター
admire,アドマイア
admission,アドミッション
admit,アドミット
adolescent,アドルセント
adopt,アドプト
adult,アダルト
advance,アドバンス
advanced,アドバンスド
advantage,アドバンテージ
adventure,アドベンチャー
advertising,アドバタイジング
advice,アドバイス
advise,アドバイス
adviser,アドバイザー
advocate,アドボケート
affair,アフェア
affect,アフェクト
afford,アフォード
afraid,アフレイド
african,アフリカン
african-american,アフリカンアメリカン
after,アフター
afternoon,アフターヌーン
again,あげぃん
against,アゲンスト
age,エージ
agency,エージェンシー
agenda,アジェンダ
agent,エージェント
aggressive,アグレッシブ
ago,アゴー
agree,アグリー
agreement,アグリーメント
agricultural,アグリカルチャー
ah,アー
ahead,アヘッド
aid,エイド
aide,エイィド
aids,エイズ
aim,エイム
air,エアー
aircraft,エアークラフト
airline,エアライン
airport,エアポート
album,アルバム
alcohol,アルコール
alive,アライブ
all,オール
alliance,アライアンス
allow,アロー
ally,アライ
almost,オールモスト
alone,アローン
along,アロング
already,オーレディ
also,オルソ
alter,オルター
alternative,オルタネィティブ
although,オルゾー
always,オールウェイズ
am,エーエム
amazing,アメイジング
american,アメリカン
among,アモング
amount,アマウント
analysis,アナリシス
analyst,アナリスト
analyze,アナライズ
ancient,エンシェント
and,アェンド
anger,アンガー
angle,エングル
angry,アングリー
animal,アニマル
anniversary,アニバーサリー
announce,アナウンス
annual,アニュアル
another,アナザー
answer,アンサー
anticipate,アンテシペイト
anxiety,アンザェティー
any,エニー
anybody,エニバディ
anymore,エニモア
anyone,エニワン
anything,エニシング
anyway,エニウェイ
anywhere,エニウェア
apart,アパート
apartment,アパートメント
apparent,アペーレント
apparently,アペーレントリ
appeal,アピール
appear,アピーア
appearance,アピーランス
apple,アップル
application,アプリケーション
apply,アプライ
appoint,アポイント
appointment,アポイントメント
